state,zip,plan_letter,carrier_name,rate_type,gender,age,monthly_premium
NC,27713,G,Mutual of Omaha (Omaha Insurance Company),ATTAINED_AGE,F,65,184.64
NC,27713,G,Heartland National Life Insurance Company,ATTAINED_AGE,F,65,189.55
NC,27713,G,Humana Achieve (CompBenefits Insurance Company),ATTAINED_AGE,F,65,192.48
NC,27713,G,Medico Insurance Company (Standard II),ATTAINED_AGE,F,65,196.01
NC,27713,G,Bankers Life (Underwritten by Washington National Insurance Company) (Substandard),ATTAINED_AGE,F,65,201.65
NC,27713,G,"Physicians Mutual Insurance Company, Inc.",ATTAINED_AGE,F,65,209.4
NC,27713,G,HealthSpring Insurance Company (Standard II),ATTAINED_AGE,F,65,224.25
NC,27713,G,GPM Health and Life Insurance Company,ATTAINED_AGE,F,65,271.87
NC,27713,G,AARP - UnitedHealthcare Insurance Company (Level 2),COMMUNITY_RATED,F,65,282.65
NC,27713,G,United American Insurance Company,ATTAINED_AGE,F,65,310
NC,27713,G,Guarantee Trust Life Insurance Company,ATTAINED_AGE,F,65,315.2
NC,27713,G,AARP - UnitedHealthcare Insurance Company of America (Level 2),COMMUNITY_RATED,F,65,504.63
NC,27713,G,Atlantic Capital Life Assurance Company (Preferred),ATTAINED_AGE,M,70,138.61
NC,27713,G,Nassau Life Insurance Company,ATTAINED_AGE,M,70,158.99
NC,27713,G,Old Surety Life Insurance Company,ISSUE_AGE,M,70,166.23
NC,27713,G,Insurance Company of North America,ATTAINED_AGE,M,70,168.25
NC,27713,G,"Physicians Mutual Insurance Company, Inc. (Innovative)",ATTAINED_AGE,M,70,169.67
NC,27713,G,Lumos Insurance,ATTAINED_AGE,M,70,170.68
NC,27713,G,Atlantic Capital Life Assurance Company (Standard),ATTAINED_AGE,M,70,172.88
NC,27713,G,HealthSpring Insurance Company,ATTAINED_AGE,M,70,175.81
NC,27713,G,LifeShield National Insurance Company,ATTAINED_AGE,M,70,176.62
NC,27713,G,WoodmenLife,ATTAINED_AGE,M,70,178.11
NC,27713,G,Medico Insurance Company (Preferred),ATTAINED_AGE,M,70,182.14
NC,27713,G,American Benefit Life Insurance Company,ATTAINED_AGE,M,70,183.83
NC,27713,G,AFLAC,ATTAINED_AGE,M,70,187.48
NC,27713,G,Globe Life and Accident Insurance Company,ATTAINED_AGE,M,70,188
NC,27713,G,USAA Life Insurance Company,ATTAINED_AGE,M,70,198.73
NC,27713,G,New Era Life Insurance Company of the Midwest,ATTAINED_AGE,M,70,199.2
NC,27713,G,Erie Family Life Insurance Company,ATTAINED_AGE,M,70,199.88
NC,27713,G,Medico Insurance Company (Standard I),ATTAINED_AGE,M,70,200.35
NC,27713,G,"Humana (Humana Benefit Plan of Illinois, Inc.)",ATTAINED_AGE,M,70,202.99
NC,27713,G,AARP - UnitedHealthcare Insurance Company (Standard),COMMUNITY_RATED,M,70,205.36
NC,27713,G,Heartland National Life Insurance Company,ATTAINED_AGE,M,70,217.98
NC,27713,G,Aetna Health Insurance Company,ATTAINED_AGE,M,70,220.91
NC,27713,G,Mutual of Omaha (Omaha Insurance Company),ATTAINED_AGE,M,70,226.48
NC,27713,G,AARP - UnitedHealthcare Insurance Company of America (Standard),COMMUNITY_RATED,M,70,227.33
NC,27713,G,Medico Insurance Company (Standard II),ATTAINED_AGE,M,70,227.67
NC,27713,G,Humana Achieve (CompBenefits Insurance Company),ATTAINED_AGE,M,70,229.01
NC,27713,G,Bankers Life (Underwritten by Washington National Insurance Company),ATTAINED_AGE,M,70,234.68
NC,27713,G,State Farm Mutual Automobile Insurance Company,ATTAINED_AGE,M,70,239.62
NC,27713,G,BlueCross BlueShield of North Carolina,ATTAINED_AGE,M,70,243
NC,27713,G,HealthSpring Insurance Company (Standard II),ATTAINED_AGE,M,70,263.72
NC,27713,G,"Physicians Mutual Insurance Company, Inc.",ATTAINED_AGE,M,70,265.72
NC,27713,G,Bankers Life (Underwritten by Washington National Insurance Company) (Substandard),ATTAINED_AGE,M,70,289.73
NC,27713,G,GPM Health and Life Insurance Company,ATTAINED_AGE,M,70,344.88
NC,27713,G,AARP - UnitedHealthcare Insurance Company (Level 2),COMMUNITY_RATED,M,70,350.52
NC,27713,G,Guarantee Trust Life Insurance Company,ATTAINED_AGE,M,70,388.53
NC,27713,G,United American Insurance Company,ATTAINED_AGE,M,70,451
NC,27713,G,AARP - UnitedHealthcare Insurance Company of America (Level 2),COMMUNITY_RATED,M,70,632.15
NC,27713,G,Atlantic Capital Life Assurance Company (Preferred),ATTAINED_AGE,F,70,120.79
NC,27713,G,Nassau Life Insurance Company,ATTAINED_AGE,F,70,138.32
NC,27713,G,Old Surety Life Insurance Company,ISSUE_AGE,F,70,144.55
NC,27713,G,Insurance Company of North America,ATTAINED_AGE,F,70,148.92
NC,27713,G,Atlantic Capital Life Assurance Company (Standard),ATTAINED_AGE,F,70,150.61
NC,27713,G,HealthSpring Insurance Company,ATTAINED_AGE,F,70,152.88
NC,27713,G,"Physicians Mutual Insurance Company, Inc. (Innovative)",ATTAINED_AGE,F,70,153.51
NC,27713,G,LifeShield National Insurance Company,ATTAINED_AGE,F,70,153.59
NC,27713,G,WoodmenLife,ATTAINED_AGE,F,70,154.88
NC,27713,G,Lumos Insurance,ATTAINED_AGE,F,70,155.09
NC,27713,G,Medico Insurance Company (Preferred),ATTAINED_AGE,F,70,158.38
NC,27713,G,American Benefit Life Insurance Company,ATTAINED_AGE,F,70,159.85
NC,27713,G,AFLAC,ATTAINED_AGE,F,70,163.67
NC,27713,G,Erie Family Life Insurance Company,ATTAINED_AGE,F,70,173.81
NC,27713,G,Medico Insurance Company (Standard I),ATTAINED_AGE,F,70,174.22
NC,27713,G,Globe Life and Accident Insurance Company,ATTAINED_AGE,F,70,175
NC,27713,G,"Humana (Humana Benefit Plan of Illinois, Inc.)",ATTAINED_AGE,F,70,179.63
NC,27713,G,New Era Life Insurance Company of the Midwest,ATTAINED_AGE,F,70,181.1
NC,27713,G,AARP - UnitedHealthcare Insurance Company (Standard),COMMUNITY_RATED,F,70,181.91
NC,27713,G,Heartland National Life Insurance Company,ATTAINED_AGE,F,70,189.55
NC,27713,G,Aetna Health Insurance Company,ATTAINED_AGE,F,70,192.01
NC,27713,G,Mutual of Omaha (Omaha Insurance Company),ATTAINED_AGE,F,70,196.93
NC,27713,G,Medico Insurance Company (Standard II),ATTAINED_AGE,F,70,197.98
NC,27713,G,USAA Life Insurance Company,ATTAINED_AGE,F,70,198.73
NC,27713,G,Humana Achieve (CompBenefits Insurance Company),ATTAINED_AGE,F,70,199.13
NC,27713,G,AARP - UnitedHealthcare Insurance Company of America (Standard),COMMUNITY_RATED,F,70,201.13
NC,27713,G,Bankers Life (Underwritten by Washington National Insurance Company),ATTAINED_AGE,F,70,211.21
NC,27713,G,BlueCross BlueShield of North Carolina,ATTAINED_AGE,F,70,212.5
NC,27713,G,State Farm Mutual Automobile Insurance Company,ATTAINED_AGE,F,70,217.26
NC,27713,G,HealthSpring Insurance Company (Standard II),ATTAINED_AGE,F,70,229.32
NC,27713,G,"Physicians Mutual Insurance Company, Inc.",ATTAINED_AGE,F,70,240.41
NC,27713,G,Bankers Life (Underwritten by Washington National Insurance Company) (Substandard),ATTAINED_AGE,F,70,260.75
NC,27713,G,GPM Health and Life Insurance Company,ATTAINED_AGE,F,70,299.87
NC,27713,G,AARP - UnitedHealthcare Insurance Company (Level 2),COMMUNITY_RATED,F,70,310.65
NC,27713,G,Guarantee Trust Life Insurance Company,ATTAINED_AGE,F,70,346.9
NC,27713,G,United American Insurance Company,ATTAINED_AGE,F,70,392
NC,27713,G,AARP - UnitedHealthcare Insurance Company of America (Level 2),COMMUNITY_RATED,F,70,560.12
NC,27713,G,Atlantic Capital Life Assurance Company (Preferred),ATTAINED_AGE,M,75,164.69
NC,27713,G,Nassau Life Insurance Company,ATTAINED_AGE,M,75,193.82
NC,27713,G,Medico Insurance Company (Preferred),ATTAINED_AGE,M,75,194.25
NC,27713,G,"Physicians Mutual Insurance Company, Inc. (Innovative)",ATTAINED_AGE,M,75,194.78
NC,27713,G,Old Surety Life Insurance Company,ISSUE_AGE,M,75,195.67
